epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2210.01,0.82191,0.43343,0.90627,0.98271,0.98507,0.99104,0.70891,1.27414,0.61522,0.92712,0.0004754,0.0004754,0.0004754
79,2236.99,0.87937,0.44912,0.9261,0.96875,0.97015,0.97879,0.71095,1.24759,0.63434,0.92105,0.0004556,0.0004556,0.0004556
80,2263.87,0.86823,0.48418,0.9267,0.99818,1,0.995,0.72081,1.18869,0.65777,0.92445,0.0004358,0.0004358,0.0004358
81,2290.93,0.8374,0.45402,0.91578,0.99788,1,0.995,0.73811,1.20487,0.64793,0.92123,0.000416,0.000416,0.000416
82,2317.72,0.82728,0.43267,0.92328,0.99825,1,0.995,0.75407,1.13469,0.60956,0.91713,0.0003962,0.0003962,0.0003962
83,2344.24,0.8116,0.43282,0.90744,0.96875,0.97015,0.98235,0.72018,1.29714,0.61379,0.92403,0.0003764,0.0003764,0.0003764
84,2371.21,0.80545,0.43358,0.93631,0.98384,0.98507,0.98484,0.72769,1.29371,0.63893,0.92596,0.0003566,0.0003566,0.0003566
85,2398.69,0.76386,0.41339,0.90769,0.98401,0.98507,0.98496,0.73772,1.2296,0.62072,0.92189,0.0003368,0.0003368,0.0003368
86,2425.43,0.80259,0.41792,0.92059,0.9986,1,0.995,0.74321,1.15316,0.58375,0.91675,0.000317,0.000317,0.000317
87,2452.52,0.82753,0.42929,0.92508,0.98409,0.98507,0.9843,0.71006,1.24933,0.59389,0.9226,0.0002972,0.0002972,0.0002972
88,2479.67,0.81055,0.41498,0.91883,0.98393,0.98507,0.98416,0.72855,1.14657,0.5691,0.91276,0.0002774,0.0002774,0.0002774
89,2506.41,0.80969,0.42815,0.91309,0.98371,0.98507,0.98398,0.74567,1.08937,0.54722,0.90921,0.0002576,0.0002576,0.0002576
90,2532.91,0.82459,0.43702,0.91555,0.98386,0.98507,0.98388,0.72243,1.16211,0.56549,0.91037,0.0002378,0.0002378,0.0002378
91,2559.24,0.7735,0.41221,0.89837,0.98384,0.98507,0.98351,0.71197,1.23335,0.5948,0.91394,0.000218,0.000218,0.000218
92,2585.6,0.76933,0.40892,0.90439,0.98348,0.98507,0.98334,0.72924,1.09197,0.56293,0.90135,0.0001982,0.0001982,0.0001982
93,2611.84,0.69723,0.38554,0.8673,0.99835,1,0.995,0.74786,1.02126,0.53875,0.90001,0.0001784,0.0001784,0.0001784
94,2638.36,0.7223,0.38561,0.8829,0.99825,1,0.995,0.7388,1.07098,0.56483,0.9045,0.0001586,0.0001586,0.0001586
95,2664.92,0.69878,0.3791,0.86815,0.99836,1,0.995,0.74901,1.1192,0.542,0.90247,0.0001388,0.0001388,0.0001388
96,2691.41,0.70268,0.37888,0.85889,0.99773,1,0.995,0.76673,1.01416,0.51671,0.89594,0.000119,0.000119,0.000119
97,2717.9,0.70467,0.36847,0.86683,0.99747,1,0.995,0.76961,0.98736,0.51889,0.89526,9.92e-05,9.92e-05,9.92e-05
98,2744.57,0.67414,0.3622,0.87465,0.9975,1,0.995,0.76068,1.0035,0.52202,0.89424,7.94e-05,7.94e-05,7.94e-05
99,2771.31,0.7041,0.3718,0.86305,0.99755,1,0.995,0.7554,1.03191,0.51837,0.89506,5.96e-05,5.96e-05,5.96e-05
100,2797.65,0.69677,0.36694,0.87157,0.99762,1,0.995,0.76254,1.02944,0.51033,0.89572,3.98e-05,3.98e-05,3.98e-05
